ticker,type,strike,expiry,iv,open_interest,market_price
BOVAG20,CALL,R$ 120.00,16/07/2027,0.0%,6593,6.37
BOVAJ130,CALL,R$ 130.00,16/10/2026,0.0%,6564,4.7
BOVAX18,PUT,R$ 120.00,18/12/2026,29.9%,6479,-1.81
BOVAG500,CALL,R$ 50.00,16/07/2027,0.0%,6470,33.44
BOVAB960,CALL,R$ 96.00,20/02/2026,0.0%,6380,11.24
BOVAD144,CALL,R$ 144.00,17/04/2026,0.0%,6367,4.35
BOVAU160,PUT,R$ 160.00,17/09/2027,25.8%,6342,-18.05
BOVAT138,PUT,R$ 138.00,21/08/2026,23.4%,6238,-16.66
BOVAC950,CALL,R$ 95.00,20/03/2026,0.0%,6000,0
BOVAP148,PUT,R$ 148.00,17/04/2026,20.0%,6000,0
BOVAJ45,CALL,R$ 156.00,16/10/2026,13.8%,5930,-7.92
BOVAM180W4,PUT,R$ 180.00,23/01/2026,34.9%,5920,-2.77
BOVAN205,PUT,R$ 205.00,20/02/2026,43.0%,5913,0
BOVAF147,CALL,R$ 147.00,19/06/2026,0.0%,5901,5.82
BOVAR170,PUT,R$ 170.00,19/06/2026,19.8%,5870,-6.79
BOVAB152W1,CALL,R$ 152.00,06/02/2026,0.0%,5820,12.55
BOVAM174W4,PUT,R$ 174.00,23/01/2026,27.4%,5815,10.41
BOVAO195,PUT,R$ 195.00,20/03/2026,28.2%,5743,0
BOVAI156,CALL,R$ 156.00,17/09/2027,0.0%,5702,2.58
BOVAO128,PUT,R$ 128.00,20/03/2026,28.0%,5700,-33.33
BOVAB109,CALL,R$ 109.00,20/02/2026,0.0%,5685,0.35
BOVAB790,CALL,R$ 79.00,20/02/2026,0.0%,5605,2.47
BOVAB143W1,CALL,R$ 143.00,06/02/2026,0.0%,5605,0
BOVAD156,CALL,R$ 156.00,17/04/2026,14.2%,5605,9.74
BOVAH148,CALL,R$ 148.00,21/08/2026,0.0%,5602,18.37
BOVAK70,CALL,R$ 70.00,19/11/2026,0.0%,5522,0.53
BOVAB590,CALL,R$ 59.00,20/02/2026,0.0%,5501,-0.73
BOVAT153,PUT,R$ 153.00,21/08/2026,22.5%,5501,11150
BOVAG30,CALL,R$ 130.00,17/07/2026,0.0%,5500,0.54
BOVAM176W5,PUT,R$ 176.00,30/01/2026,24.7%,5500,-7.23
BOVAN1,PUT,R$ 119.00,19/02/2027,27.8%,5429,342.3
BOVAO750,PUT,R$ 75.00,20/03/2026,49.4%,5401,0
BOVAM151W5,PUT,R$ 151.00,30/01/2026,23.0%,5400,0
BOVAA130W5,CALL,R$ 130.00,30/01/2026,0.0%,5395,3.53
